,notice_date,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
0,4/13/2020,Plant Layoff,Four Seasons New York Worldwide Sales Office (FS US Services Limited),"900 Third Avenue, Suite 1003 New York, NY 10022",New York County,(416) 441-4289,Hotels and Resorts,7,----,Separations,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Plant Layoff
1,5/21/2020,Temporary Plant Layoff,"Merritt Hospitality, LLC","(at the Courtyard Manhattan-Midtown East) 866 3rd Ave New York, NY 10022",New York County,(212) 644-1300 Ext,Hotel,65,----,Employees,Unforeseeable business circumstances prompted by COVID-19.,New York Hotel Trades Council,Temporary Plant Layoff
2,4/6/2020,Temporary Plant Closing,Holiday Inn Rochester Downtown,"70 State Street Rochester, NY 14614",Monroe County,(585) 324-0032,Hotel,92,92,3/23/2020,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Temporary Plant Closing
3,5/20/2020,Temporary Plant Closing,Michelangelo Hotel,"152 West 51 Street New York, NY 10019",New York County,(212 ) 536-1020,Hotel,104,104,Began,Unforeseeable business circumstances prompted by COVID-19,"New York York Hotel & Motel Trades Council AFL-CIO, affiliated with UNITE HERE",Temporary Plant Closing
4,3/24/2020,Temporary Plant Layoff,APF 101 Corp.,"(Delta by Marriott Utica NY) 200 Genesee Street Utica, NY 13502",Oneida County,(315) 797-8010,Hotel,49,49,3/23/2020.,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
5,5/8/2020,Plant Layoff,Cameron Manufacturing & Design,"727 Blostein Blvd Horseheads, NY 14845",Chemung County,(607) 739-3606 Ext,"Fabrications and Weldments, Equipment and Machinery, Design and Drafting Services, Engineering Design",73,----,Separations,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Plant Layoff
6,5/14/2020,Plant Layoff,"Aero Instruments & Avionics, Inc.","7290 Nash Road North Tonawanda, NY 14120",Niagara County,(716) 694-7060 Ext,"Avionics, Instrument & Electrical Accessory component repair.",41,,5/14/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
7,5/18/2020,Plant Layoff,"The Langham, New York, Fifth Avenue","400 Fifth Avenue New York, NY 10018",New York County,(212) 613-8651,Contemporary luxury hotel,163,---,5/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
8,5/18/2020,Temporary Plant Layoff,WestHouse Hotel,"201 W 55th Street New York, NY 10019",New York County,"Erik Palmer, Area Managing Director
Phone",Hotel,30,,The,Unforeseeable business circumstances prompted by COVID-19.,"New York Hotel & Motel Trades Council.AFL-CIO, affiliated with UNITE HERE",Temporary Plant Layoff
9,5/18/2020,Temporary Plant Layoff,Park Central New York,"870 7th Avenue New York, NY 10019",New York County,(212) 707-5028,Hotel,227,----,The,Unforeseeable business circumstances prompted by COVID-19.,"New York Hotel & Motel Trades Council.AFL-CIO, affiliated with UNITE HERE",Temporary Plant Layoff
10,5/19/2020,Plant Layoff,Gate Gourmet (JFK kitchen),"30 Inip Drive Inwood, NY 11096",Nassau County,(516) 205-7939,Airline catering services,131,---,Separations,Unforeseeable business circumstances prompted by COVID-19,IBT/HERE Employee Representatives’ Council,Plant Layoff
11,5/19/2020,Plant Layoff,AFP 107 Corp. (Hilton Albany),"40 Lodge Street Albany, NY 12207",Albany County,(518) 427-3000,Hotel,70,----,Employees,Unforeseeable business circumstances prompted by COVID-19,New York Hotel Trades Council,Plant Layoff
12,4/7/2020,Temporary Plant Closing,"125 W. 44 Restaurant Associates, LLC dba Hunt & Fish Club","125 W. 44th Street New York, NY 10036",New York County,(917) 371-1284,Restaurant,74,74,The,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
